index,Input,Sentiment,anger,fear,joy,love,sadness,surprise,connotation
9752,i remember feeling uncertain about what to say well erm we are trying and my period is due this week so erm,fear,0,1,0,0,0,0,0
959,i am feeling so low lately just feeling of hopelessness is very disturbing making me tired and sick entire of living this kind of life,sadness,0,0,0,0,1,0,0
323,i stopped feeling so exhausted a href http provokingbeauty,sadness,0,0,0,0,1,0,0
12148,i think i would have been feeling less grumpy if i hadnt been up and down throughout the night or my lungs deciding that even though i wasnt that unwell it felt as though something was sitting on my chest and flattened me,anger,1,0,0,0,0,0,0
1074,i feel like the popular kid at school,joy,0,0,1,0,0,0,1
87,i would lie in bed and feel it somehow sparkle and i knew that even if most meningiomas are benign mine was growing and needed to come out sooner rather than later,joy,0,0,1,0,0,0,1
8347,i hadnt anticipated happening quite so quickly in this new international life was feeling passionate about honduras,love,0,0,0,1,0,0,1
14553,i guess being the good friend that he is he can not and will not allow me to go on with life feeling so distressed and confused,fear,0,1,0,0,0,0,0
1109,i feel like they rushed the relationship,anger,1,0,0,0,0,0,0
13560,i feel like i m so distracted by silly things like twitter that i can spend an entire evening with the kids and not actually hear a thing that they re saying,anger,1,0,0,0,0,0,0
14565,i think about my freedom and not having to make plans for another person all the time i feel content,joy,0,0,1,0,0,0,1
14527,i am good at something that i feel passionate about and all of the other students that graduate this year are in the same boat what happens after,love,0,0,0,1,0,0,1
3180,i feel generally dissatisfied and lost,anger,1,0,0,0,0,0,0
1983,i said earlier he was feeling ignored ever since the baby came but is now getting back to normal as attention is given to him as well,sadness,0,0,0,0,1,0,0
1075,i feel about these individuals but that opening line shows how inadequate simple words can be,sadness,0,0,0,0,1,0,0
8598,i found it to be a deeply moving read and i feel it s a book that should be read twice because there s so much in there you ll discover the second time around which you might ve missed on the first read,sadness,0,0,0,0,1,0,0
10635,i feel vulnerable when im alone not only because i feel so incapable of defending myself but also because i could go into labour at any point,fear,0,1,0,0,0,0,0
806,i am feeling thankful that there are so many people who care about art and want to make things,joy,0,0,1,0,0,0,1
9443,i apologize to anyone who may feel i have been a neglectful slacker mcslackerson,sadness,0,0,0,0,1,0,0
8440,i feel the nearness of my beloved grandpa bishop hi grandpa,joy,0,0,1,0,0,0,1
432,im feeling a bit uncomfortable with myself too,fear,0,1,0,0,0,0,0
15945,i was already feeling kind of frantic and upset because im spending another year in that god forsaken school,fear,0,1,0,0,0,0,0
1410,i feel too greedy to actually ask them,anger,1,0,0,0,0,0,0
8795,i left brands hatch feeling optimistic about the future said holland,joy,0,0,1,0,0,0,1
7562,i feel the jersey could be a bit more adventurous but i wont let that take anything away from this jersey,joy,0,0,1,0,0,0,1
12096,i was once told that while science explains the how religion explains the why and i feel this is the real reason that intelligent design is not and should not be accepted as a scientific theory on the basis of it not actually explaining how something works or how something was created,joy,0,0,1,0,0,0,1
10823,i feel inadequate in almost everything that i do,sadness,0,0,0,0,1,0,0
10773,i always thought loving someone is the greatest feeling but i realized that loving a friend is even better,love,0,0,0,1,0,0,1
1523,i feel like any time anyone gets into the ring with him they are so intimidated by his arms and legs they dont even really try,fear,0,1,0,0,0,0,0
10201,i am feeling like a generous and kind krem ill even show ye how tget the album,joy,0,0,1,0,0,0,1
14645,i didn t really know many other ill people but nowadays i do and i m so glad that i do knowing other people in a similar position people who truly get how you feel is a wonderful thing,joy,0,0,1,0,0,0,1
238,i came home with these bits and bobs feeling very pleased with myself and ready for some sunny british weather,joy,0,0,1,0,0,0,1
7736,i still feel stressed,anger,1,0,0,0,0,0,0
9323,i think unconsciously subconsciously i feel like a vile vile being,anger,1,0,0,0,0,0,0
1812,i have been feeling so melancholy and alone,sadness,0,0,0,0,1,0,0
6742,im feeling discontent with everything and its manifesting itself in destructive self sabotaging ways,sadness,0,0,0,0,1,0,0
4814,i kept waking up and feeling glad the dream was over then i would fall back asleep only to the dream continuing,joy,0,0,1,0,0,0,1
13606,i am sure that fans of every other team feel one of their guys got slighted and in the long run it really doesnt make much of a difference its just a shame that someone as talented as evgeni malkin was left off,joy,0,0,1,0,0,0,1
13791,i open my eyes wide and i feel the last bubble of precious air escape from my lips then everything goes black,joy,0,0,1,0,0,0,1
15825,i even feel it is a game that i am a part of some strange reality swarming with violent carnivores adding to the bare landscape of the place i now know,surprise,0,0,0,0,0,1,1
5411,i spray it all over my body during afternoons to beat the heat because its refreshing doesnt sting unlike regular baby colognes and the fresh scent is very energizing just the thing i need to keep me from feeling drained and lazy in this intense heat,sadness,0,0,0,0,1,0,0
2045,i feel confident that my issue is being regarded with the highest sense of urgency,joy,0,0,1,0,0,0,1
15206,i often look back on my younger years and feel ashamed of the things i have done,sadness,0,0,0,0,1,0,0
10270,i feel hated helping prevent gay,sadness,0,0,0,0,1,0,0
40,i sit the chicken preferably bone in chicken thighs skinless because i feel they have the most flavor in a crock pot so that it becomes tender and falls apart,love,0,0,0,1,0,0,1
2297,i feel rejected so i must not measure up,sadness,0,0,0,0,1,0,0
1919,i feel rotten remind me that your fruit won t spoil,sadness,0,0,0,0,1,0,0
2547,i feel empty when i dont have something to care for,sadness,0,0,0,0,1,0,0
248,i like it though its very over the top but makes me feel clever by association,joy,0,0,1,0,0,0,1
13021,i do like riding on brooms but there is something about just sitting and holding colin and feeling the wind in my hair that is quite pleasant,joy,0,0,1,0,0,0,1
845,i already feel very glamorous have a great day everybody,joy,0,0,1,0,0,0,1
597,i know its easy to twist things to create an explanation and im still not sure i have one but it did help me to feel a little less mad,anger,1,0,0,0,0,0,0
577,i feel utterly disgusted with myself right now and am contemplating death every waking moment ever since she uttered those few words,anger,1,0,0,0,0,0,0
3175,i feel awful,sadness,0,0,0,0,1,0,0
12621,i feel paranoid thinking about it just looking out the window and feeling my insomnia creep up on me,fear,0,1,0,0,0,0,0
11769,i would feel fearful of being killed by other mistresses,fear,0,1,0,0,0,0,0
14742,i feel like throughout my life to this point in time i can say that ive fucked quite a few people,anger,1,0,0,0,0,0,0
2720,i inquire incheswhyinches are people relocating droves about what they feel is security in precious metal,joy,0,0,1,0,0,0,1
8041,i sometimes feel very vulnerable,fear,0,1,0,0,0,0,0
792,i know she feels helpless but that kiss that cuddle the hug every morning and the love you every night,sadness,0,0,0,0,1,0,0
11358,im feeling all sentimental too and i cannot wait to be up in vermont for christmas with the whole ryan family,sadness,0,0,0,0,1,0,0
6910,i feel sarcastic more often than not,anger,1,0,0,0,0,0,0
7907,i could bottle this feeling as a weight loss strategy id be rich,joy,0,0,1,0,0,0,1
14612,i have been crying a lot and feeling kind of depressed,sadness,0,0,0,0,1,0,0
432,i wasnt feeling well so we had to cancel our plans to join a larger family gathering,joy,0,0,1,0,0,0,1
3221,i feel fine now but it was pretty rough running for hours and minutes straight,joy,0,0,1,0,0,0,1
11903,i may feel that way but the fact that stories created by adults that are meant for children contain messages that are not so innocent really makes me wonder who exactly is more mature,joy,0,0,1,0,0,0,1
8148,i woke up feeling terrific today and my head is so clear,joy,0,0,1,0,0,0,1
6047,i wake up every morning and feel like i have been beaten with a baseball bat,sadness,0,0,0,0,1,0,0
8410,i never feel satisfied or satiated like i used to when we were dining out,joy,0,0,1,0,0,0,1
280,i gather supplies and start to check her progress via internal exam the head midwife prepares to start an iv and calmly asks others for more assistance i feel reassured by her calmness,joy,0,0,1,0,0,0,1
9267,i wasn t feeling very joyful at all despite being on a caribbean island with fantastic diving learning new and exciting skills as a dive master and coaching my clients in north america all of which should bring me joy,joy,0,0,1,0,0,0,1
5722,im feeling artistic today,joy,0,0,1,0,0,0,1
3897,i feel so bad to have slacked of on my health but now i need to make the time,sadness,0,0,0,0,1,0,0
1109,i feel like this semester has been good for me,joy,0,0,1,0,0,0,1
1746,i feel that i want what i need and know that i just need to bleed in this fucked up world of my own,anger,1,0,0,0,0,0,0
14031,i drink a glass of champagne and feel really relieved,joy,0,0,1,0,0,0,1
7483,i feel so weird that it feels like i wanna curse everything and bang my head onto the wall so that my world will be back to its focus,fear,0,1,0,0,0,0,0
406,i feel so honored today and i want to share the emotion and my gratitude because i received a very complimentary email from someone who reads thought provoking perspectives,joy,0,0,1,0,0,0,1
2289,i thought i exhausted all emotions i held all the frustration and confusion and still here i am having so much more to give so much more to feel i look at this blank white piece of paper and i want to fill it with colours with motion but it still seems so blank,sadness,0,0,0,0,1,0,0
15148,i need to get a job but due to my very silly head i dont really know what i feel passionate about anymore nor do i know what drives me,love,0,0,0,1,0,0,1
10664,i hunger for anything i feel ferocious like a tiger,anger,1,0,0,0,0,0,0
6892,i feel like the energy from the moon and the stars is just as vital both physically and emotionally as that from the sun,joy,0,0,1,0,0,0,1
4401,i feel like everything i do i will make a mistake and i will be punished,sadness,0,0,0,0,1,0,0
15330,i struggled with feeling like myself because myself liked bands and the s and david hockney and photography and collecting things and no body really understood those things because no body does understand you when you re,love,0,0,0,1,0,0,1
1657,i feel that i can answer in a completely un sarcastic way,anger,1,0,0,0,0,0,0
840,i feel as if i am naturally talented in though i know each one needs improving,joy,0,0,1,0,0,0,1
11387,i just have to be sure i still remember to keep feeling excited and enjoying what i am already doing along the way,joy,0,0,1,0,0,0,1
2194,i can feel what hes feeling but not quite because this is his own beloved brother,joy,0,0,1,0,0,0,1
1011,i blanked a little on a lesson and she seamlessly jumped in to support me without making me feel stupid or inferring it to the kids,sadness,0,0,0,0,1,0,0
1705,i can see changes on my legs they have slimmed down a bit but i feel a little disheartened that its not that visible,sadness,0,0,0,0,1,0,0
8138,i would add when i m feeling optimistic but a perfectly average person,joy,0,0,1,0,0,0,1
13521,i feel uncomfortable when i wear lenses that are not brown but these lenses make me want to get more blue lenses,fear,0,1,0,0,0,0,0
13115,i feel heartbroken when he tells me that he feels that i dont love him when i really do love him,sadness,0,0,0,0,1,0,0
9809,i didn t feel rushed to finish millions of things and i was able to focus on each task separately,anger,1,0,0,0,0,0,0
5522,i believe that if i by myself make a person feel uptight and want to be envous of me then they have another sin called jealousy,fear,0,1,0,0,0,0,0
10608,i feel sorry for the times that i misjudged it as well as it had to me,sadness,0,0,0,0,1,0,0
12008,i declined this invitation but secretly i could not help but feel curious,surprise,0,0,0,0,0,1,1
1383,i hate wearing watch but at the same time i will feel distressed if i dont know what time is it,fear,0,1,0,0,0,0,0
12337,i immediately related to feeling curious about everything,surprise,0,0,0,0,0,1,1
10699,i havent cried in the last day or two but instead i feel positively convinced that god has a plan and purpose for me and all that i do,joy,0,0,1,0,0,0,1
1147,i type i feel bouncy and excited to get out my ideas,joy,0,0,1,0,0,0,1
6922,i just try not to talk to anyone when i feel irritable like that,anger,1,0,0,0,0,0,0
1143,i found out i was pregnant which is alot but it makes me feel a little less scared knowing that my doctor is watching everything and were taking things day by day,fear,0,1,0,0,0,0,0
15088,i remember something about the artwork i spent hours with in school i feel smart and worthy,joy,0,0,1,0,0,0,1
554,i know that god has a huge plan for my life but i cant stop myself from feeling impatient and i know its bad but i sometimes well almost all the time question him about this,anger,1,0,0,0,0,0,0
12285,i think i used to overeat i mean one reason anyway was because i wanted to make sure i didn t feel deprived later,sadness,0,0,0,0,1,0,0
10192,i feel listless and lethargic with a hint of anxiety as if there is something i need to be doing but i dont know what,sadness,0,0,0,0,1,0,0
1948,im just feeling so dazed everyday,surprise,0,0,0,0,0,1,1
9684,im sure ive got it right and my state of unencumberedness despite many years of feeling like i couldnt keep up anybody else is causing me to see my life as charmed,joy,0,0,1,0,0,0,1
3517,i am feeling particularly annoyed at my co workers i sometimes make the rounds of the floors finding literally pounds of white paper in the trash,anger,1,0,0,0,0,0,0
14431,i feel like there s a possibility that statements like this make supporting our own interests more problematic,joy,0,0,1,0,0,0,1
6405,i still feel jealous of my friends when their moms talk politely with them,anger,1,0,0,0,0,0,0
336,i always feel accepted by them,joy,0,0,1,0,0,0,1
5360,i still blush and feel shocked about the recreational activities that i sometimes unwillingly and willingly hear sometimes,surprise,0,0,0,0,0,1,1
1419,i feel at this point i have to give some credit to my beloved former teacher ajahn brahmavamso as well as all other little and big gurus and lovers i had in my life,love,0,0,0,1,0,0,1
12654,i feel vulnerable yet extraordinarily liberated,fear,0,1,0,0,0,0,0
11492,i blinded feelings i meant liked stupid i,love,0,0,0,1,0,0,1
12827,i have been feeling quite productive,joy,0,0,1,0,0,0,1
1723,i know how much work goes into the creation and i feel the author deserves a chance to prove that their work is worthwhile,joy,0,0,1,0,0,0,1
7142,i feel so blessed and beyond thankful for the opportunity to paint for my readers its been the best,joy,0,0,1,0,0,0,1
542,i also feel i have accepted my dark side and am finally realizing what of my dark side is healthy,joy,0,0,1,0,0,0,1
6000,i feel quite content right now s i mean nothing amazing happened just a stupid frenh competition where im sure i did shit and tutor but i dontt know i feel ok,joy,0,0,1,0,0,0,1
5391,i feel so glad,joy,0,0,1,0,0,0,1
7422,i feel like i get blamed for all his stress sometimes,sadness,0,0,0,0,1,0,0
1869,i also feel that it should be pence as i am sure readers will not mind paying that,joy,0,0,1,0,0,0,1
451,i feel unusually mellow not having to worry about any of the aforementioned things not having to rely on tylenol pm or nyquil to lull me to sleep,joy,0,0,1,0,0,0,1
8106,i woke up this morning feeling very agitated at the day coming,anger,1,0,0,0,0,0,0
1489,i sometimes feel like a damaged product,sadness,0,0,0,0,1,0,0
1388,i could also feel very bad about myself for not being able to keep up,sadness,0,0,0,0,1,0,0
6638,im choosing to feel bad and should stop is absolutely ludicrous,sadness,0,0,0,0,1,0,0
8825,i feel this is a very truthful parable because it s so evident in all aspects of life,joy,0,0,1,0,0,0,1
5483,i have my lowest level class first which is definitely the most difficult to manage with the hotshot boys men then my best class very last period which leaves me feeling somewhat useful at the end of each day,joy,0,0,1,0,0,0,1
9835,i can usually tell if someone is being honest i can feel if they are sincere and if they are just teasing,joy,0,0,1,0,0,0,1
186,i don t like eating meals that feel too virtuous,joy,0,0,1,0,0,0,1
571,i feel quite worthless but i hear that that is pretty normal for north americans at this point,sadness,0,0,0,0,1,0,0
8188,ive stamped out old relationships feeling like the distance and time apart would cause people to forget or somehow give enough reason for them to stop caring about me,love,0,0,0,1,0,0,1
11464,i feel content if not happy,joy,0,0,1,0,0,0,1
100,im not crying in a corner or feeling so out of control irritable that i cant handle it,anger,1,0,0,0,0,0,0
11675,i hate feeling bitter,anger,1,0,0,0,0,0,0
9832,i dont need that sense of social approval that i craved right now i dont even feel that aching guilt that so often gave me headaches,sadness,0,0,0,0,1,0,0
252,i feel furious that right to life advocates can and do tell me how to live and die through lobbying and supporting those politicians sympathic to their views,anger,1,0,0,0,0,0,0
1427,i randomly heard this and ever since then watching the video has been a delight and the music just makes me feel as jolly in reference,joy,0,0,1,0,0,0,1
1003,i go around people and i act normal but it feels strange,surprise,0,0,0,0,0,1,1
2322,i think is i told my dad and now he feels skeptical about us,fear,0,1,0,0,0,0,0
462,i feel so dazed a href http twitter,surprise,0,0,0,0,0,1,1
12688,i still feel that way because im stubborn like that but those people who were spazzing out are the ones with dates now,anger,1,0,0,0,0,0,0
136,i feel such gratitude for the generous gifts we received on our wedding day over years ago,love,0,0,0,1,0,0,1
903,i feel like that s acceptable,joy,0,0,1,0,0,0,1
12663,i stumble upon such a finding i feel quite excited almost like having accomplished a discovery,joy,0,0,1,0,0,0,1
14160,i feel like i am so pathetic selfish and unbelievably lazy i want to find a new job as the old one is just annoying me so much i can not describe that,sadness,0,0,0,0,1,0,0
11445,i feel them and im loving it,love,0,0,0,1,0,0,1
5905,i resorted to yesterday the post peak day of illness when i was still housebound but feeling agitated and peckish for brew a href http pics,anger,1,0,0,0,0,0,0
12745,i am tired and feeling giggly but not witty,joy,0,0,1,0,0,0,1
8510,i feel like the addition of sweet fresh corn really adds a touch of summer to an otherwise heavy fall dish,joy,0,0,1,0,0,0,1
1514,i also tried after all that frustration when i was feeling none too energetic for more problems to work on the respirometry stuff which is going to be a huge nightmare,joy,0,0,1,0,0,0,1
562,i was worried that maybe she was sleeping so well because she wasn t getting enough milk and was feeling lethargic,sadness,0,0,0,0,1,0,0
940,i feel like a may have mislead the very gracious readers of this blog,joy,0,0,1,0,0,0,1
4202,i refuse to feel guilty,sadness,0,0,0,0,1,0,0
6305,i feel like im selfish,anger,1,0,0,0,0,0,0
102,i love the foamy feel it is so gentle on the skin doesnt sting or irritate whatsoever,love,0,0,0,1,0,0,1
1403,i think also i have changed obviously i am making more effort to go to things and make friends i feel less shy and less bothered about peoples judgement of my appearance,fear,0,1,0,0,0,0,0
13927,i feel determined this time though,joy,0,0,1,0,0,0,1
14062,i had been feeling extremely homesick the first two days,sadness,0,0,0,0,1,0,0
1370,ive been feeling delicate this week,love,0,0,0,1,0,0,1
5180,i realize i should be extremely grateful for your act of kindness lord i m feeling quite distressed at the moment,fear,0,1,0,0,0,0,0
14397,i feel so humiliated because as i was spending my days off planning a beautiful wedding he was calling texting taking some other girl out and fucking her,sadness,0,0,0,0,1,0,0
303,fear of thief,fear,0,1,0,0,0,0,0
259,i feel really bothered about the lack of time i get to find inspiration,anger,1,0,0,0,0,0,0
14337,i feel more anxious than i have in quite some time in fact,fear,0,1,0,0,0,0,0
1526,i resisted doing because i didn t feel it would be acceptable and one of the group leaders encouraged me to do it anyway,joy,0,0,1,0,0,0,1
1375,i begin to sense how these characters are feeling the heartbreaks theyre suffering or have suffered already,sadness,0,0,0,0,1,0,0
1203,i am sorry if you feel offended by my humorous statement my friend,anger,1,0,0,0,0,0,0
13384,i feel very passionate about sharing my story of our family with you,love,0,0,0,1,0,0,1
7812,i should not feel afraid we can stop shoulding all over ourselves,fear,0,1,0,0,0,0,0
7094,i didn t wish to be the president i hardly know these people and i got the feeling that they hated me for being quiet and not smiling,anger,1,0,0,0,0,0,0
12284,i feel much more relaxed this year said jane pollicino who came to ground zero tuesday morning to mourn her husband who was killed at the trade center,joy,0,0,1,0,0,0,1
6378,i have to move stop staring at the other ladies this doesn t feel good does it feel bad,joy,0,0,1,0,0,0,1
9736,i want her to feel worthwhile because she is,joy,0,0,1,0,0,0,1
9283,im feeling festive and i dont think i posted a good picture of our tree,joy,0,0,1,0,0,0,1
1759,i werent feeling crappy enough aunt flo decided to show up and im bloated like a balloon,sadness,0,0,0,0,1,0,0
12870,i always feel devastated when shows close because it feels like more than just the ending of a production,sadness,0,0,0,0,1,0,0
1703,i always feel that love is something much vaster and if we could explore it together perhaps i should then make my life into something worthwhile before it is too late,joy,0,0,1,0,0,0,1
5181,i feel like i am being one person whom his life will be very miserable and not doing the best,sadness,0,0,0,0,1,0,0
13319,im feeling abit uncertain now,fear,0,1,0,0,0,0,0
15200,i always conceal my real true feelings because im afraid of being venerable and taking advantage of because well that happened before and it really destroyed me,fear,0,1,0,0,0,0,0
4130,i cant really understand my feeling cause its a mixture between bitter and a sour one which even i dont get,anger,1,0,0,0,0,0,0
5780,i feel uncertain of how i can keep my personal development of fitness and health going in the right direction,fear,0,1,0,0,0,0,0
2610,i met up with some friends to watch the hockey game and headed off to a local pub called pig and duke ate some parmesan truffle wings not sure how i feel about those and some prawn lollipops delicious but terrible name,joy,0,0,1,0,0,0,1
130,i really feel so lame today,sadness,0,0,0,0,1,0,0
9827,i used string and pins but i feel they get too messy and cluttered looking,sadness,0,0,0,0,1,0,0
5024,i feel like that when i try to try on relationship traditions that i and the people i care about get damaged,sadness,0,0,0,0,1,0,0
4048,im feeling terrible i couldnt feel worse,sadness,0,0,0,0,1,0,0
15533,i feel peaceful centered and an endless supply of energy each day to accomplish what is most important,joy,0,0,1,0,0,0,1
11480,i feel victimized by someone or something,sadness,0,0,0,0,1,0,0
14703,i feel empty again,sadness,0,0,0,0,1,0,0
6042,i was still feeling a bit unsure a bit not convinced still a bit frustrated,fear,0,1,0,0,0,0,0
